pattern1	pattern2	instance1	instance2	similarity scores	worker IDs
be a lot of	be a huge amount of	Their reception be a lot of fun	Their reception be a huge amount of fun	5 1 1 6 6	39 43 44 12 15
like to play	suck at	Billy like to play golf	Billy suck at golf	2 2 3 2 1	39 5 7 20 8
participate in	contribute to	students participate in a practicum	students contribute to a practicum	1 6 6 6 5	30 31 1 33 52
kick off in	be to begin in	The program kick off in July 2003	The program be to begin in July 2003	6 6 6 7 5	0 2 1 52 4
type	be responsible for maintain the confidentiality of	the user type their credentials	the user be responsible for maintain the confidentiality of their credentials	3 3 2 6 4	38 42 18 19 20
feature lot of	contain a lot of	the City feature lot of blogs	the City contain a lot of blogs	6 4 5 6 6	47 16 42 18 19
be better for	be bad for	hemp be better for our planet	hemp be bad for our planet	3 2 2 2 5	38 14 17 18 19
employ more than	lay off	Our company employ more than 400 workers	Our company lay off 400 workers	6 1 3 4 1	30 31 3 32 50
want to hire	think about hire	A CEO want to hire the best	A CEO think about hire the best	5 7 6 5 5	39 34 47 38 5
like to know more about	research	those of you like to know more about this game	those of you research this game	5 4 5 3 5	0 2 1 21 4
update	translate	the search engines update their information	the search engines translate their information	1 1 4 5 3	30 31 1 33 48
be given a tour of	tour	students be given a tour of the medical school	students tour the medical school	6 5 2 6 5	51 1 3 32 4
be rare in	be found in	anaphylactic reactions be rare in patients	anaphylactic reactions be found in patients	2 1 3 2 5	0 1 22 23 4
charge	require payment of	Most cards charge a fee	Most cards require payment of a fee	6 1 6 6 5	34 28 29 46 36
be presented to	be forwarded to	a separation agreement be presented to the court	a separation agreement be forwarded to the court	6 5 6 6 6	7 11 50 8 9
favor	support	an economic policy favor the rich	an economic policy support the rich	6 6 6 4 6	30 31 32 33 48
be free from	be filled with	Men be free from disease	Men be filled with disease	1 3 2 1 1	47 38 21 18 20
accept all kind of	include all type of	ShareIt accept all kind of payment methods	ShareIt include all type of payment methods	5 6 6 6 6	0 41 51 20 49
trick	be seduced by	Odysseus trick him	him be seduced by Odysseus	3 5 4 5 2	13 6 11 24 25
descend on	flock to	10,500 athletes descend on Beijing	10,500 athletes flock to Beijing	6 6 6 6 5	43 35 13 36 45
smile	wave	his wife smile more	his wife wave more	1 1 2 2 3	43 35 13 36 45
be presented to	be tabled in	a separation agreement be presented to the court	a separation agreement be tabled in the court	5 2 6 2 6	6 7 10 11 8
be honest with	want to please	men be honest with each other	men want to please each other	3 1 3 2 5	38 47 42 37 49
drive	drive up	the mind drive the body	the mind drive up the body	6 5 3 1 5	30 31 3 32 33
surprise	interest	These activities surprise no one	These activities interest no one	2 2 2 2 5	41 51 22 37 49
be similar for	be equal for	the user interface be similar for the programs	the user interface be equal for the programs	4 5 4 5 5	13 11 15 48 25
love to play	love play	Many people love to play basketball	Many people love play basketball	5 6 6 6 7	39 43 44 12 15
be important to	affect	proper nutrition be important to fitness	proper nutrition affect fitness	6 6 4 4 4	43 35 13 36 45
transfer to	attend college at	the guest transfer to hotel	the guest attend college at hotel	6 6 3 2 6	47 16 21 37 49
endorse	run against	The New Yorker endorse Barack Obama	Barack Obama run against The New Yorker	2 1 1 1 1	6 7 50 8 9
be done before	be finished before	his best work be done before World War II	his best work be finished before World War II	6 6 5 6 5	13 14 15 48 25
be based on	be related to	Our service be based on information	Our service be related to information	3 5 5 6 5	38 42 21 10 49
be based on	be driven by	Our service be based on information	Our service be driven by information	6 6 2 5 5	41 22 37 20 49
be necessary for	be crucial for	a blog be necessary for their business	a blog be crucial for their business	5 5 6 5 6	39 5 44 6 35
be intended for	be suitable for	The course be intended for healthcare professionals	The course be suitable for healthcare professionals	6 6 5 5 6	0 41 51 2 4
sit next to	sit down next to	Most students sit next to students	Most students sit down next to students	3 5 6 5 6	38 42 18 19 10
want to reconsider	reexamine	Council want to reconsider this initiative	Council reexamine this initiative	5 5 6 6 6	5 14 11 50 48
be available upon	be all available on	Past issues be available upon request	Past issues be all available on request	6 5 6 6 6	16 42 21 18 49
spend a lot of	donate	others spend a lot of money	others donate money	1 1 3 1 3	34 27 29 36 45
dont talk about	be allowed to talk about	Women dont talk about these things	Women be allowed to talk about these things	2 2 1 2 1	39 40 12 7 20
have the face of	behave like	The boy have the face of an angel	The boy behave like an angel	6 3 3 3 6	16 31 37 10 32
be similar to	be the same as	the symptoms be similar to those of a number of other conditions	the symptoms be the same as those of a number of other conditions	6 6 6 5 6	30 31 32 33 48
return a list of	give a list of	Our search engine return a list of documents	Our search engine give a list of documents	6 5 5 6 5	40 13 17 24 25
be done	be done in	the payroll be done each month	the payroll be done in each month	6 6 6 5 5	41 51 21 37 49
dissect	try to explain	your class dissect animals	your class try to explain animals	2 3 2 1 1	13 6 11 15 25
concern	influence	This information concern the owners	This information influence the owners	3 5 5 5 5	38 42 18 19 20
have trouble with	feel comfortable with	children have trouble with the lesson	children feel comfortable with the lesson	1 2 2 2 1	41 42 21 37 20
offer help with	offer guidance on	This site offer help with a variety of subjects	This site offer guidance on a variety of subjects	6 7 6 5 5	43 35 13 36 45
kill	kill more than	Tosca kill him	Tosca kill more than him	3 5 2 3 4	6 7 11 8 9
be popular on	be easy to find on	Backpacks be popular on the tour	Backpacks be easy to find on the tour	4 5 3 4 2	13 14 15 48 25
watch over	be protective of	FINRA watch over its members	FINRA be protective of its members	5 6 5 2 5	41 22 21 37 20
go on behind	come from behind	a lot go on behind the scenes	a lot come from behind the scenes	3 4 5 2 5	41 22 21 37 49
be listed as	remain	Northern abalone be listed as a threatened species	Northern abalone remain a threatened species	5 5 1 6 3	39 5 43 12 48
be organised at	be delivered at	Additional sessions be organised at Brussels	Additional sessions be delivered at Brussels	6 2 5 5 5	43 35 13 36 45
have plenty of	have a great deal of	consumers have plenty of choices	consumers have a great deal of choices	6 6 5 6 6	43 44 6 35 45
long to see	enjoy hang out with	Yang long to see Lau	Yang enjoy hang out with Lau	1 3 1 3 2	30 31 32 33 48
take place after	follow after	The program take place after lunch	The program follow after lunch	1 6 6 6 6	47 51 22 2 21
break with	break from	our forefathers break with Britain	our forefathers break from Britain	5 5 4 6 7	5 7 20 10 8
be left to fend for	seem to enjoy	the rest of us be left to fend for ourselves	the rest of us seem to enjoy ourselves	6 1 2 1 1	44 13 14 15 25
soften with	deteriorate with	Fabric soften with washing	Fabric deteriorate with washing	1 1 6 2 6	30 31 32 50 33
learn	be trained in	Participants learn the basic techniques	Participants be trained in the basic techniques	4 6 6 6 5	34 27 35 29 36
coast on	try to cash in on	The US coast on its national debt	The US try to cash in on its national debt	6 6 3 6 3	47 16 42 18 20
be held hostage by	hide among	Our lives be held hostage by Our failures	Our failures hide among Our lives	2 2 2 2 2	14 50 9 8 48
meet on	be taught on	The Committee meet on February 18	The Committee be taught on February 18	2 3 2 4 2	41 0 2 22 20
kill	kill off	Curiosity kill the cat	Curiosity kill off the cat	5 6 6 5 5	39 40 12 7 20
have the feeling of	have a touch of	youll have the feeling of satisfaction	youll have a touch of satisfaction	5 5 6 5 5	14 17 10 24 25
play a leading role in	play a critical role in	UNESCO play a leading role in adult education	UNESCO play a critical role in adult education	5 5 5 6 6	13 6 14 15 25
study at	be a student of	Aristotle study at Plato 's school	Aristotle be a student of Plato 's school	6 5 5 6 5	34 28 35 29 36
plop in	leap from	Crystal plop in her chair	Crystal leap from her chair	3 2 2 2 4	38 16 17 18 19
be used to	become accustomed to	the dog be used to this habit	the dog become accustomed to this habit	3 5 6 6 5	38 42 18 19 20
be wounded in	be hit in	Five other soldiers be wounded in the attack	Five other soldiers be hit in the attack	3 5 2 5 6	38 14 17 18 19
be a result of	arise from	almost all cases be a result of exposure	almost all cases arise from exposure	3 6 5 6 6	38 47 42 21 10
be a country in	be a region of	Zambia be a country in southern Africa	southern Africa be a region of Zambia	3 6 1 1 1	39 43 44 12 15
increase	up	Supports increase offshore oil drilling	Supports up offshore oil drilling	6 4 2 6 4	51 21 3 32 4
permit	be allowed in	The Supreme Court permit the defendant	the defendant be allowed in The Supreme Court	6 6 6 6 5	58 7 50 8 9
step in for	play better than	Michelle Obama step in for her husband	Michelle Obama play better than her husband	3 2 1 3 3	39 40 12 7 20
ask the question in	say thing in	the gentleman ask the question in Texas	the gentleman say thing in Texas	6 5 5 3 4	34 28 35 29 36
be a unique opportunity for	be a fantastic opportunity for	Sierra Wireless be a unique opportunity for Wavecom	Sierra Wireless be a fantastic opportunity for Wavecom	5 5 6 2 6	5 7 10 11 8
be measured in	be expressed in	The amplitude be measured in decibels	The amplitude be expressed in decibels	5 6 5 2 5	41 42 22 37 49
pray for	beg for	a pastor pray for his sheep	a pastor beg for his sheep	1 1 6 2 4	34 27 29 36 45
reiterate	elaborate on	Amnesty International reiterate its call	Amnesty International elaborate on its call	3 6 5 4 5	38 47 42 18 19
launch	co-founded	Leanne launch Safeguard Innovations	Leanne co-founded Safeguard Innovations	3 6 3 6 5	6 7 11 8 9
distribute	restrict	MIT distribute systems	MIT restrict systems	1 2 2 3 5	41 22 37 20 49
increase the cost of	affect the price of	Regulations increase the cost of building	Regulations affect the price of building	4 5 6 4 1	31 54 37 10 32
dabble in	get started in	Newton dabble in the occult	Newton get started in the occult	5 5 6 5 4	14 11 50 9 48
incapacitate	be cured of	his drugs incapacitate him	him be cured of his drugs	1 1 6 5 1	30 31 3 33 52
be true of	hold true with	The same be true of music	The same hold true with music	6 6 2 5 6	47 21 37 20 49
try to change	forget	some women try to change things	some women forget things	2 3 2 2 2	58 14 50 8 48
consider	adopt	These committees consider legislation	These committees adopt legislation	1 3 3 1 4	44 13 14 15 25
grant	decide to grant	The monarch grant a dissolution	The monarch decide to grant a dissolution	6 6 5 5 6	13 6 15 48 25
be separate from	be one with	these two energies be separate from each other	these two energies be one with each other	6 1 2 2 1	44 13 17 24 25
be grateful for	be overwhelmed by	Kim be grateful for the info	Kim be overwhelmed by the info	3 5 5 2 6	38 42 17 18 19
love to make	start to make	many people love to make money	many people start to make money	1 6 1 2 3	34 27 29 36 45
go on behind	rush to	a lot go on behind the scenes	a lot rush to the scenes	6 6 1 1 2	34 28 35 29 36
take an interest in	hold a bachelors of	Bateson take an interest in Bandler and Grinder	Bateson hold a bachelors of Bandler and Grinder	2 1 2 2 5	0 30 2 52 4
accept	be happy to accept	the Customer accept that change	the Customer be happy to accept that change	6 6 5 4 5	34 28 35 29 36
aim	stack	The hunters aim their weapons	The hunters stack their weapons	1 1 1 1 2	34 28 35 29 36
be happy with	hear about	parents be happy with their schools	parents hear about their schools	1 6 1 2 4	34 27 29 36 45
show off	be jealous of	The boys show off their stuff	The boys be jealous of their stuff	6 1 1 1 1	34 28 35 29 36
have a pair of	have two pair of	the rider have a pair of scales	the rider have two pair of scales	6 6 4 3 5	47 16 42 18 19
be required by	be obliged by	oxygen be required by your body	oxygen be obliged by your body	3 5 5 4 7	14 17 10 24 25
have a break in	take a break in	Mary have a break in study	Mary take a break in study	7 6 6 6 5	40 11 50 9 48
watch over	look on	FINRA watch over its members	FINRA look on its members	5 5 5 2 5	1 2 22 3 4
be buried in	live near	Her face be buried in my neck	Her face live near my neck	1 5 3 1 5	30 31 3 32 33
be available in	be translated into	The application be available in three languages	The application be translated into three languages	5 5 6 5 6	39 5 44 6 35
